id,period,yield
141,199901,-0.12
141,199902,1.14
141,199903,0.75
141,199904,0.66
141,199905,0.47
141,199906,0.51
141,199907,0.72
141,199908,0.43
141,199909,1.32
141,199910,0.44
141,199911,1.24
141,199912,0.3
162,199901,0.18
162,199902,0.18
162,199903,0.19
162,199904,0.49
162,199905,0.89
162,199906,0.98
162,199907,0.54
162,199908,0.22
162,199909,1.18
162,199910,0.87
162,199911,1.29
162,199912,0.9
163,199901,0.56
163,199902,0.06
163,199903,0.11
163,199904,0.06
163,199905,0.89
163,199906,1.45
163,199907,-0.49
163,199908,0.78
163,199909,0.97
163,199910,0.73
163,199911,1.02
163,199912,0.58
164,199901,0.21
164,199902,0.17
164,199903,-0.04
164,199904,0.59
164,199905,0.64
164,199906,0.4
164,199907,1.02
164,199908,0.69
164,199909,0.72
164,199910,0.67
164,199911,1.07
164,199912,0.69
165,199901,0.33
165,199902,0.16
165,199903,0.31
165,199904,0.79
165,199905,0.87
165,199906,0.88
165,199907,0.69
165,199908,0.44
165,199909,1.06
165,199910,0.93
165,199911,1.25
165,199912,1.0
166,199901,1.43
166,199902,-0.99
166,199903,0.04
166,199904,0.59
166,199905,0.8
166,199906,0.12
166,199907,0.85
166,199908,0.89
166,199909,0.76
166,199910,0.63
166,199911,1.16
166,199912,0.35
167,199901,0.47
167,199902,0.55
167,199903,0.06
167,199904,0.47
167,199905,0.72
167,199906,0.48
167,199907,1.19
167,199908,0.98
167,199909,0.42
167,199910,0.58
167,199911,0.98
167,199912,0.63
168,199901,0.32
168,199902,0.24
168,199903,0.32
168,199904,0.74
168,199905,0.81
168,199906,0.65
168,199907,0.74
168,199908,0.68
168,199909,0.9
168,199910,0.8
168,199911,1.26
168,199912,0.75
170,199901,0.23
170,199902,0.09
170,199903,-0.02
170,199904,0.57
170,199905,0.67
170,199906,0.34
170,199907,0.85
170,199908,0.86
170,199909,0.82
170,199910,0.62
170,199911,1.11
170,199912,0.63
171,199901,
171,199902,
171,199903,
171,199904,
171,199905,
171,199906,
171,199907,
171,199908,
171,199909,
171,199910,
171,199911,
171,199912,
172,199901,-0.15
172,199902,0.31
172,199903,0.55
172,199904,0.25
172,199905,0.15
172,199906,0.43
172,199907,0.59
172,199908,0.6
172,199909,0.79
172,199910,0.87
172,199911,0.73
172,199912,0.51
180,199901,0.12
180,199902,-0.04
180,199903,0.48
180,199904,1.56
180,199905,1.06
180,199906,0.35
180,199907,1.24
180,199908,0.58
180,199909,1.09
180,199910,-0.09
180,199911,-0.24
